metric,records,seconds,mse,rmse,accuracy_pct
encrypt,1000,2.666708,0.00e+00,0.00e+00,100.0000
mean,1000,0.038499,1.17e-10,1.08e-05,100.0000
encrypt,10000,26.157974,0.00e+00,0.00e+00,100.0000
mean,10000,0.404406,1.19e-10,1.09e-05,100.0000
encrypt,100000,271.367049,0.00e+00,0.00e+00,100.0000
mean,100000,619.019428,7.57e-11,8.70e-06,100.0000
