dataset,num_records,plaintext_kb,pure_ckks_mb,hybrid_mb,aes_expansion,ckks_expansion,pure_ckks_expansion,hybrid_expansion,storage_savings_pct
1K,1000,40.15234375,4020.7138061523438,1005.5046081542969,1.14,43916.916666666664,13012.41975308642,3254.1604938271603,74.99188809171864
10K,10000,420.138671875,40194.244384765625,10051.822662353516,1.14,43902.833333333336,13008.246913580248,3253.117283950617,74.99188548954699
100K,100000,4395.26171875,401955.79528808594,100521.56448364258,1.14,43904.291666666664,13008.67901234568,3253.2253086419755,74.99188575908012
