num_records,aes_encrypt_mb,ckks_baseline_encrypt_mb,ckks_optimized_encrypt_mb,computation_mb,aes_decrypt_mb,ckks_decrypt_mb
1000,99.21484375,185.703125,616.18359375,618.8359375,619.5078125,619.5078125
5000,615.54296875,618.0390625,621.37890625,620.1875,621.0859375,621.0859375
